Time,Price,Bid.Price,Ask.Price
2024-10-17T11:37:47.017419Z,66934.1,66934.1,66934.1
2024-10-17T11:37:48.262504Z,66940.8,66938.2,66940.8
2024-10-17T11:37:48.323360Z,66940.6,66935,66940.6
2024-10-17T11:37:48.385556Z,66939.1,66934.5,66939.1
2024-10-17T11:37:48.442925Z,66939,66935.1,66939
2024-10-17T11:37:48.502832Z,66940.5,66935.2,66940.5
2024-10-17T11:37:49.642520Z,66936.6,66936.6,66936.6
2024-10-17T11:37:50.298581Z,66936.6,66934.1,66936.6
2024-10-17T11:37:50.298581Z,66934.1,66934.1,66936.6
2024-10-17T11:37:50.353110Z,66936.3,66934.2,66936.3
2024-10-17T11:37:50.396325Z,66936.6,66934.3,66936.6
2024-10-17T11:37:50.396325Z,66936.6,66934.3,66936.6
2024-10-17T11:37:50.396325Z,66936.6,66934.3,66939
2024-10-17T11:37:50.396325Z,66939,66934.3,66939
2024-10-17T11:37:50.413104Z,66939,66934.3,66939
2024-10-17T11:37:50.415613Z,66939,66934.3,66939
2024-10-17T11:37:50.474257Z,66938.8,66934.5,66938.8
2024-10-17T11:37:50.533381Z,66938.6,66934.6,66938.6
2024-10-17T11:37:50.596480Z,66938.5,66934.8,66938.5
2024-10-17T11:37:51.096789Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.096789Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.099320Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.618832Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.688895Z,66935.9,66935.8,66935.9
2024-10-17T11:37:51.787192Z,66935.9,66935.8,66935.9
2024-10-17T11:37:52.551443Z,66935.9,66935.8,66938.3
2024-10-17T11:37:52.551443Z,66938.3,66935.8,66938.3
2024-10-17T11:37:54.282143Z,66942.7,66942.6,66942.7
2024-10-17T11:37:55.843961Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.287121Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.309738Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.582747Z,66942.7,66942.6,66942.7
2024-10-17T11:37:58.824372Z,66942.7,66942.6,66942.7
2024-10-17T11:37:59.176239Z,66942.7,66942.6,66942.7
2024-10-17T11:38:00.738379Z,66942.6,66942.6,66942.7
2024-10-17T11:38:00.738379Z,66942.6,66937,66942.7
2024-10-17T11:38:00.754284Z,66934.9,66934.9,66934.9
